archetype,row_index,PLAYER_ID,PLAYER_NAME,SEASON,TEAM,MIN,distance
0,380,1631321,Sidy Cissoko,2025-26,POR,1435.055,0.0
1,317,1629674,Neemias Queta,2025-26,BOS,1926.2066666666667,0.0
2,422,1630249,Vít Krejčí,2025-26,POR,1392.1,0.0
3,166,1628973,Jalen Brunson,2025-26,NYK,2589.806666666667,0.0
