archetype,row_index,PLAYER_ID,PLAYER_NAME,SEASON,TEAM,MIN,distance
0,317,1629674,Neemias Queta,2025-26,BOS,1926.2066666666667,0.0
1,322,201587,Nicolas Batum,2025-26,LAC,1294.595,0.0
2,283,1629029,Luka Dončić,2025-26,LAL,2288.6016666666665,0.0
3,358,1642265,Rob Dillingham,2025-26,CHI,969.9533333333334,0.0
4,363,203497,Rudy Gobert,2025-26,MIN,2380.0466666666666,0.0
5,397,203501,Tim Hardaway Jr.,2025-26,DEN,2127.3,0.0
