draft_year,round,pick,overall,player_name_raw,path,source_team_location,athlete_id,matched_athlete_id,final_college_season,match_method
2022,1,7,7,Shaedon Sharpe,NCAA,Kentucky,31152.0,,,unmatched_needs_review
2019,1,18,18,Goga Bitadze,NCAA,Georgia,,,,unmatched_needs_review
2019,2,29,59,Dewan Hernandez,NCAA,Miami,44064.0,,,unmatched_needs_review
2018,2,6,36,Mitchell Robinson,NCAA,Western Kentucky,,,,unmatched_needs_review
2018,2,16,46,De'Anthony Melton,NCAA,USC,46071.0,,,unmatched_needs_review
2017,2,3,33,Wesley Iwundu,NCAA,Kansas State,,,,unmatched_needs_review
