draft_year,round,pick,overall,nba_player_id,cbbd_athlete_id,player_name,final_college_season,college_team,conference,college_minutes,PLAYER_HEIGHT_INCHES,PTS_PER_100,TS%,USG%,AST%,TOV%,STL%,BLK%,TRB%,FTr,% of FG Ast'd_2P,% of FG Ast'd_3P,PLAYER_HEIGHT_INCHES_z,PTS_PER_100_z,TS%_z,USG%_z,AST%_z,TOV%_z,STL%_z,BLK%_z,TRB%_z,FTr_z,% of FG Ast'd_2P_z,% of FG Ast'd_3P_z,PORPAG,rim_finishing_share,three_pt_jumper_share,c_alpha_0,c_alpha_1,c_alpha_2,c_alpha_3,c_alpha_4,c_alpha_5,c_alpha_6,c_alpha_7,c_argmax,c_alpha_max,log_pick,age_at_draft,years_in_college,position,conf_tier,rookie_season,rookie_minutes,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_argmax,y_max,college_match_method
2024,1,3,3,1642263.0,15341.0,Reed  Sheppard,2024.0,Kentucky,SEC,955,74.0,0.2354669127113552,0.705,0.18,0.241160028805429,0.1845637583892617,0.0470366320276195,0.0251382583743025,0.0773769569581087,0.247,0.0909090909090909,0.7733333333333333,-1.001983872064026,0.3577761149605334,2.5705168425682805,-0.2898925810733109,1.6565313012475318,0.7345725111464904,3.259286343814271,0.2364689635764003,-0.4120508666114681,-0.5677126481733716,-1.3935539177375411,0.0865447507441352,3.5,0.2243346007604562,0.5475285171102662,0.1321952348776529,0.0,0.0,0.2586727156038726,0.4950336027261301,0.1140984467923442,0.0,0.0,4,0.4950336027261301,1.0986122886681098,20.005475701574262,1.0,SG,True,2024-25,654.3516666666667,0.1600142515115446,0.0,0.0,0.5583987571798971,0.0,0.1676672222208961,0.0,0.1139197690876621,3,0.5583987571798971,direct_athlete_id
2024,1,4,4,1642264.0,15259.0,Stephon Castle,2024.0,UConn,Big East,916,78.0,0.25172602593379,0.557,0.221,0.1844150642891404,0.1309707241910631,0.017938977577939,0.0205631445617622,0.1007725898555592,0.379,0.4188034188034188,0.85,0.1933515753123544,0.6128219077620122,0.169865054029801,0.5328320256019757,0.8578678553560711,-0.337290274952426,-0.1782286687433656,0.0287139046656046,0.199152044870371,0.2466576794553167,0.2588801895586881,0.3226069087119289,3.1,0.5137931034482759,0.2586206896551724,0.0771304146113396,0.1654651984497162,0.0114596246165605,0.1691075672578545,0.0641075586957201,0.1949973148640427,0.258818553359793,0.058913768144973,6,0.258818553359793,1.3862943611198906,19.64955509924709,1.0,PG,True,2024-25,2162.0216666666665,0.0,0.022128749763015,0.112158366315825,0.5513405289282693,0.0006347708577442,0.0714639369610034,0.0906939790258105,0.1515796681483323,3,0.5513405289282693,direct_athlete_id
2024,1,7,7,1642270.0,15258.0,Donovan Clingan,2024.0,UConn,Big East,790,86.0,0.352262609840127,0.646,0.248,0.1341284026382803,0.0736531986531986,0.0138667539758583,0.1139157718704208,0.1895978394664804,0.478,0.7065217391304348,1.0,2.584022470065115,2.18987179954598,1.613500251191455,1.0746262787783838,0.1501025264179344,-1.4836430339342317,-0.6593097053902096,4.267839176878074,2.5196813254102586,0.8574354251768329,1.7088460027994834,0.7844676525619602,4.3,0.7731958762886598,0.0274914089347079,0.0,0.0,0.3352399241087238,0.0119214638438461,0.0,0.0,0.6528386120474301,0.0,6,0.6528386120474301,1.9459101490553132,20.33949349760438,2.0,C,True,2024-25,1323.6433333333334,0.0700286633704982,0.0630252805838575,0.6957279934505736,0.0,0.1712180625950705,0.0,0.0,0.0,2,0.6957279934505736,direct_athlete_id
2024,1,8,8,1642265.0,15342.0,Rob Dillingham,2024.0,Kentucky,SEC,744,75.0,0.3574001850872554,0.6,0.303,0.2981091301998919,0.1364256480218281,0.0242977881318914,0.0028058715226109,0.0686484960678509,0.271,0.2685185185185185,0.765625,-0.7031500102199308,2.270461493095387,0.8673517223213856,2.1782812389525485,2.458067894808499,-0.2281915843730131,0.5729833156803937,-0.7776405287983317,-0.6400789234828124,-0.4196453158772463,-0.4984854429520838,0.0628102402962864,3.5,0.3149171270718232,0.3977900552486187,0.0218883292568193,0.0,0.0,0.1801819615251226,0.0970307247936903,0.5812068412156235,0.119692143208744,0.0,5,0.5812068412156235,2.0794415416798357,19.474332648870636,1.0,PG,True,2024-25,515.975,0.0,0.0,0.0,0.8141159261221129,0.0,0.0,0.0,0.185884073877887,3,0.8141159261221129,direct_athlete_id
2024,1,9,9,1641744.0,15234.0,Zach Edey,2024.0,Purdue,Big Ten,1248,88.0,0.4674321416149788,0.673,0.331,0.1455549160536807,0.1096437795429072,0.0052169152718758,0.069287330316742,0.2200872389200203,0.809,0.7370030581039755,1.0,3.181690193753305,3.9964589200269263,2.0514569963978,2.7401419459503056,0.3109262868460355,-0.7638300044443254,-1.6811773082432784,2.241270028222633,3.3162064631152153,2.899530716427559,1.8624575990436452,0.7844676525619602,8.0,0.5210727969348659,0.003831417624521,0.0,0.0,0.0031270244304059,0.0,0.0,0.0,0.996872975569594,0.0,6,0.996872975569594,2.1972245773362196,22.119096509240247,4.0,C,True,2024-25,1415.765,0.0595717153863934,0.4145126052662304,0.360649554895581,0.0,0.1652661244517951,0.0,0.0,0.0,1,0.4145126052662304,direct_athlete_id
2024,1,10,10,1642262.0,16241.0,Cody Williams,2024.0,Colorado,Pac-12,675,79.0,0.2483093049929585,0.628,0.213,0.103647078141249,0.1739886907351022,0.0129825018453388,0.0244900048631907,0.0641975308641975,0.397,0.3777777777777777,0.8823529411764706,0.4921854371564494,0.5592261003391711,1.321529087720558,0.372300395031188,-0.2789103360563524,0.5230707432664973,-0.7637727637031532,0.2070318933944493,-0.7563588678340409,0.3577081786774107,0.0521301401149888,0.4222239318952689,2.3,0.4587628865979381,0.211340206185567,0.1970869961706128,0.0,0.0209523523626215,0.187652842272273,0.0,0.0800681335841988,0.2753039738652068,0.2389357017450869,6,0.2753039738652068,2.302585092994046,19.59753593429158,1.0,SG,True,2024-25,1059.611666666667,0.3097130463686681,0.0,0.0578581284166645,0.2506896560863168,0.0,0.1317863153174846,0.0,0.2499528538108659,0,0.3097130463686681,direct_athlete_id
2024,1,13,13,1642269.0,16022.0,Devin Carter,2024.0,Providence,Big East,1164,74.0,0.3306122302261715,0.604,0.28,0.2334858279052691,0.1418914610037625,0.0293901095674171,0.0282090961875356,0.1397956659854611,0.369,0.2164179104477611,0.7261904761904762,-1.001983872064026,1.8502568305404716,0.932234203092696,1.716752801061535,1.5485198893516674,-0.1188751103430965,1.1745758396984545,0.3759151318979501,1.2186165684470176,0.1849629576652645,-0.7610481482598079,-0.0586114830373031,4.4,0.3852813852813853,0.4826839826839826,0.033665296781993,0.0,0.0152571581530219,0.0598448668106936,0.2880130650538347,0.301248381499498,0.3019712317009585,0.0,6,0.3019712317009585,2.5649493574615367,22.275154004106778,3.0,PG,True,2024-25,395.9433333333333,0.1534009249097023,0.0,0.0217872103844539,0.3785450643645682,0.0,0.0,0.0592773718399262,0.3869894285013491,7,0.3869894285013491,direct_athlete_id
2024,1,14,14,1642267.0,16084.0,Bub Carrington,2024.0,Pittsburgh,ACC,1097,76.0,0.2498617690571902,0.534,0.23,0.2400638672588028,0.1303674733154078,0.0104299050496044,0.0085188083348795,0.0885756206709411,0.241,0.0,0.0,-0.4043161483758357,0.5835785617951524,-0.2032092104052335,0.7134301099941119,1.6411032511016743,-0.3493553161274642,-1.065329365851883,-0.5182171411804609,-0.1194896054568245,-0.604729481247403,-1.8516932318457373,-2.2946039731049144,3.0,,,0.0250621539431308,0.0528429524220663,0.15723738389116,0.0,0.0,0.5247512671525781,0.0,0.2401062425910647,5,0.5247512671525781,2.6390573296152584,18.93223819301848,1.0,PG,True,2024-25,2457.79,0.1592221157688965,0.0,0.0,0.7002960111206764,0.0121989810803572,0.1282828920300698,0.0,0.0,3,0.7002960111206764,direct_athlete_id
2024,1,15,15,1642276.0,17268.0,Kel'el Ware,2024.0,Indiana,Big Ten,963,84.0,0.290040943874209,0.629,0.2289999999999999,0.0992784761255321,0.1100805696083942,0.0109268809549431,0.0648311863265134,0.1764819866147952,0.417,0.6823529411764706,0.9411764705882352,1.9863547463769249,1.2138423009747232,1.3377497079133858,0.6933636561727613,-0.3403967211363767,-0.7550941860019175,-1.0066180309422073,2.038917366597611,2.1770341534078734,0.4810976222575148,1.5870465611075473,0.6033457922286143,3.8,0.4620253164556962,0.1265822784810126,0.0,0.0476202362914632,0.2483618423083542,0.1794688431728402,0.0,0.0,0.5245490782273422,0.0,6,0.5245490782273422,2.70805020110221,20.18343600273785,2.0,C,True,2024-25,1422.486666666667,0.1882020689027682,0.2550520918321072,0.4006953771941626,0.0,0.0893347265768849,0.066715735494077,0.0,0.0,2,0.4006953771941626,direct_athlete_id
2024,1,16,16,1642272.0,15225.0,Jared McCain,2024.0,Duke,ACC,1137,75.0,0.2721472630845121,0.616,0.212,0.1100783768835408,0.1012320151632635,0.0200277357788252,0.0018874676083032,0.0933746755584693,0.23,0.2386363636363636,0.8275862068965517,-0.7031500102199308,0.9331561441892664,1.126881645406627,0.3522339412098395,-0.1883922917001562,-0.9320656219805236,0.0685313471048544,-0.8193450780486506,0.0058840628886907,-0.6725936752164602,-0.6490775323117225,0.2535932343435335,4.0,0.2269129287598944,0.554089709762533,0.019940131175693,0.0,0.0,0.1792761993691634,0.153869596156996,0.1547380051394532,0.1546416614637854,0.3375344066949087,7,0.3375344066949087,2.772588722239781,20.347707049965777,1.0,PG,True,2024-25,591.7916666666666,0.0666629952168408,0.0,0.0,0.456361707136598,0.0,0.2593254063996593,0.1521497542039362,0.0655001370429656,3,0.456361707136598,direct_athlete_id
