archetype,row_index,PLAYER_ID,PLAYER_NAME,SEASON,TEAM,MIN,distance
0,154,1629630,Ja Morant,2025-26,MEM,568.5,0.0
1,209,203954,Joel Embiid,2025-26,PHI,1200.6383333333333,0.0
2,0,1631260,AJ Green,2025-26,MIL,2269.9333333333334,0.0
3,317,1629674,Neemias Queta,2025-26,BOS,1926.2066666666667,0.0
4,227,1629006,Josh Okogie,2025-26,HOU,1353.8116666666667,0.0
