archetype,row_index,PLAYER_ID,PLAYER_NAME,SEASON,TEAM,MIN,distance
0,322,201587,Nicolas Batum,2025-26,LAC,1294.595,0.0
1,378,1628983,Shai Gilgeous-Alexander,2025-26,OKC,2258.9466666666667,0.0
2,358,1642265,Rob Dillingham,2025-26,CHI,969.9533333333334,0.0
3,294,1629680,Matisse Thybulle,2025-26,POR,479.65,0.0
4,213,202685,Jonas Valanciunas,2025-26,DEN,871.065,0.0
5,261,202691,Klay Thompson,2025-26,DAL,1496.83,0.0
6,286,1628436,Luke Kornet,2025-26,SAS,1430.08,0.0
7,50,1631121,Bryce McGowens,2025-26,NOP,879.9333333333333,0.0
8,121,1642928,Dylan Cardwell,2025-26,SAC,906.5383333333333,0.0
