archetype,row_index,PLAYER_ID,PLAYER_NAME,SEASON,TEAM,MIN,distance
0,322,201587,Nicolas Batum,2025-26,LAC,1294.595,0.0
1,213,202685,Jonas Valanciunas,2025-26,DEN,871.065,0.0
2,71,203991,Clint Capela,2025-26,HOU,925.6616666666666,0.0
3,81,1626156,D'Angelo Russell,2025-26,WAS,494.775,0.0
4,366,1641750,Ryan Kalkbrenner,2025-26,CHA,1479.1316666666667,0.0
5,396,203501,Tim Hardaway Jr.,2025-26,DEN,2127.3,0.0
6,377,1628983,Shai Gilgeous-Alexander,2025-26,OKC,2258.9466666666667,0.0
7,34,1643016,Bez Mbeng,2025-26,UTA,492.185,0.0
