PLAYER_ID,PLAYER_NAME,SEASON,TEAM_ABBREVIATION,MIN,arch_0,arch_1,arch_2,arch_3,arch_4,arch_5,arch_6,arch_7
1631260,AJ Green,2025-26,MIL,2269.9333333333334,0.0,0.0,0.0441266854457265,0.0,0.0061829823837511,0.0359721167873006,0.0,0.9137182153832218
1642358,AJ Johnson,2025-26,DAL,453.43333333333334,0.1565811701011183,0.0,0.0,0.7694360890839207,0.0486418275400407,0.0,0.0,0.02534091327492
203932,Aaron Gordon,2025-26,DEN,1004.9583333333334,0.0387620614856079,0.1684046032781704,0.0,0.0,0.1350302966244871,0.1630980872705759,0.2041133209734614,0.2905916303676971
1628988,Aaron Holiday,2025-26,HOU,780.7316666666667,0.0,0.0,0.1489365078228472,0.2860851174536803,0.0,0.1332433346922619,0.036064653529383,0.3956703865018273
1630174,Aaron Nesmith,2025-26,IND,1334.95,0.0469658831337745,0.0405944411268028,0.0,0.0398271818133066,0.1177349301567905,0.1819805262333088,0.007520966943154,0.5653760705928624
1630598,Aaron Wiggins,2025-26,OKC,1413.98,0.0445203984961438,0.0476555204787844,0.1939135655872653,0.2405178793878326,0.0918703102806501,0.0082406589370805,0.0921582596921624,0.2811234071400804
1642846,Ace Bailey,2025-26,UTA,1987.6433333333337,0.0633135604263786,0.0247595459645325,0.0084064118552105,0.0935261566674478,0.0527825526454934,0.3556569285741053,0.0,0.4015548438668319
1641737,Adem Bona,2025-26,PHI,1234.1616666666666,0.3250163024878136,0.0323083306958528,0.0427813824178968,0.0,0.5998939843984369,0.0,0.0,0.0
1642349,Ajay Mitchell,2025-26,OKC,1472.7983333333334,0.0,0.1479705359261955,0.1206438045251157,0.3204663044197415,0.0620175275645969,0.100667272026025,0.2482345555383251,0.0
201143,Al Horford,2025-26,GSW,969.185,0.0,0.3034116254687282,0.1055855378141567,0.077157255458787,0.0,0.0,0.0590719269210319,0.454773654337296
1627936,Alex Caruso,2025-26,OKC,1020.3466666666668,0.0,0.0,0.501199053565911,0.1027819588465386,0.1639962311883367,0.0,0.0176711754299342,0.2143515809692794
1642259,Alex Sarr,2025-26,WAS,1304.6616666666666,0.0065793756483609,0.5755087069932248,0.0,0.0718366675084433,0.0,0.0648314398803483,0.1843292960965707,0.0969145138730518
1630578,Alperen Sengun,2025-26,HOU,2397.695,0.0,0.4425328464223572,0.0,0.1440612824492829,0.0,0.0025428381652912,0.4108630329630685,0.0
1641708,Amen Thompson,2025-26,HOU,2953.15,0.0,0.1311233702247477,0.1126481696550206,0.0201871457593526,0.4404939664029955,0.0844072543316712,0.2111400936262121,0.0
1629599,Amir Coffey,2025-26,PHX,490.50166666666667,0.0,0.0,0.0,0.0,0.3080207398387795,0.2430018577598702,0.0,0.4489774024013501
203083,Andre Drummond,2025-26,PHI,1230.7483333333332,0.1530092039237372,0.0607827019817479,0.1635674546042131,0.0,0.5961502552780856,0.0,0.0,0.0264903842122161
1641748,Andre Jackson Jr.,2025-26,MIL,408.10833333333335,0.1309023696165225,0.0,0.1563881800629836,0.5638204951497389,0.06182684393704,0.0,0.0,0.0870621112337151
1629614,Andrew Nembhard,2025-26,IND,1785.5933333333332,0.0,0.0,0.0,0.3628970083330632,0.0,0.3503130320184913,0.2724242759277506,0.0143656837206949
